Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Marques Bolden,C,25,MIL,2,3,0,0,0,0,0,0,1,0
Marques Bolden,C,25,CHO,9,118,0,17,3,4,3,7,9,37
Devin Booker,PG,27,PHO,68,2447,152,490,405,472,61,28,206,1841
Brandon Boston Jr.,SF,22,LAC,32,345,14,51,23,13,11,8,40,167
Chris Boucher,PF,31,TOR,50,705,31,79,71,23,14,24,68,322
James Bouknight,SG,23,CHO,14,81,13,5,1,6,1,1,3,50
Jamaree Bouyea,PG,24,TOT,9,95,1,9,0,11,1,0,10,21
Jamaree Bouyea,PG,24,POR,6,57,0,5,0,8,0,0,3,10
Jamaree Bouyea,PG,24,SAS,3,38,1,4,0,3,1,0,7,11
Malaki Branham,PG,20,SAS,75,1594,93,178,55,156,27,8,94,690
Christian Braun,SG,22,DEN,82,1655,63,159,93,132,42,35,137,600
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Mikal Bridges,SF,27,BRK,82,2854,220,344,258,299,81,30,116,1606
Miles Bridges,SF,25,CHO,69,2581,157,402,174,231,65,33,118,1449
Oshae Brissett,SF,25,BOS,55,630,15,53,50,44,19,8,54,201
Izaiah Brockington,PG,24,NOP,1,3,0,2,0,0,0,0,0,4
Malcolm Brogdon,PG,31,POR,39,1121,82,136,95,214,27,8,58,613
Armoni Brooks,PG,25,BRK,10,104,11,4,1,5,1,1,3,42
Dillon Brooks,SF,28,HOU,72,2227,133,196,124,119,64,10,241,915
Bruce Brown,PG-SG,27,TOT,67,1866,53,225,117,192,59,17,148,726
Bruce Brown,SG,27,IND,33,981,33,116,67,100,35,8,81,398
Bruce Brown,PG,27,TOR,34,885,20,109,50,92,24,9,67,328
Charlie Brown Jr.,SG,26,NYK,8,37,2,0,0,0,0,2,5,6
Greg Brown III,PF,22,DAL,6,40,1,4,4,4,0,4,5,15
Jaylen Brown,SF,27,BOS,70,2343,145,482,211,249,83,37,185,1610
Kendall Brown,SG,20,IND,15,63,0,8,5,5,0,0,9,21
Kobe Brown,PF,24,LAC,44,394,14,23,1,25,12,6,49,89
Moses Brown,C,24,POR,22,200,0,33,9,7,5,7,27,75
Troy Brown Jr.,SF,24,TOT,59,827,47,37,32,60,24,3,42,247
Troy Brown Jr.,SF,24,MIN,37,410,31,21,19,35,8,2,26,154
Troy Brown Jr.,SF,24,DET,22,417,16,16,13,25,16,1,16,93
Jalen Brunson,PG,27,NYK,77,2726,211,579,421,519,70,13,144,2212
Thomas Bryant,C,26,MIA,38,441,4,82,41,23,10,16,46,217
Kobe Bufkin,SG,20,ATL,17,196,9,25,4,27,7,5,20,81
Reggie Bullock,SF,32,HOU,44,417,27,7,1,15,12,5,29,96
Alec Burks,SG,32,TOT,66,1212,124,86,145,88,28,12,75,689
Alec Burks,SG,32,DET,43,901,99,61,121,68,21,11,64,540
Alec Burks,SG,32,NYK,23,311,25,25,24,20,7,1,11,149
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Jared Butler,SG,23,WAS,40,566,24,74,31,126,29,8,58,251
Jimmy Butler,PF,34,MIA,60,2042,60,336,394,298,79,17,68,1246
Jamal Cain,PF,24,MIA,26,259,11,23,18,10,10,5,22,97
Kentavious Caldwell-Pope,SG,30,DEN,76,2402,125,145,101,183,98,42,151,766
Toumani Camara,PF,23,POR,70,1739,58,139,75,87,66,33,174,527
Clint Capela,C,29,ATL,73,1883,0,353,130,91,43,106,164,836
Jevon Carter,PG,28,CHI,72,1004,77,61,4,94,37,16,71,357
Wendell Carter Jr.,C,24,ORL,55,1406,64,159,93,95,35,28,121,603
D.J. Carton,SG,23,TOR,4,36,1,2,4,3,1,0,3,11
Alex Caruso,SG,29,CHI,71,2040,136,117,73,247,120,70,181,715
Colin Castleton,C,23,LAL,16,59,0,9,6,3,2,0,11,24
Malcolm Cazalon,SG,22,DET,1,3,0,0,0,0,0,0,0,0
Julian Champagnie,SF,22,SAS,74,1468,101,63,75,103,48,42,77,504
Justin Champagnie,SF,22,WAS,15,235,13,19,12,19,10,9,14,89
Max Christie,SG,20,LAL,67,944,42,61,36,60,20,17,57,284
Sidy Cissoko,SF,19,SAS,12,141,1,15,12,10,7,3,18,45
Brandon Clarke,PF,27,MEM,6,134,1,32,1,9,5,6,8,68
Jordan Clarkson,SG,31,UTA,55,1682,91,246,177,277,35,6,81,942
Nic Claxton,C,24,BRK,71,2116,1,365,108,147,46,146,175,841
Noah Clowney,PF,19,BRK,23,370,12,38,21,18,8,16,25,133
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Amir Coffey,SF,26,LAC,70,1460,70,96,61,76,41,14,102,463
John Collins,PF,26,UTA,68,1901,86,311,147,77,40,61,191,1027
Zach Collins,C,26,SAS,69,1526,58,240,122,194,34,52,206,776
Mike Conley,PG,36,MIN,76,2193,179,115,102,449,88,17,128,869
Pat Connaughton,SF,31,MIL,76,1676,82,69,44,161,40,19,99,428
Bilal Coulibaly,SF,19,WAS,63,1715,64,124,92,110,57,48,137,532
Ricky Council IV,SG,22,PHI,32,289,12,42,53,16,8,1,17,173
Robert Covington,SF-PF,33,TOT,29,488,19,24,22,24,39,18,56,127
Robert Covington,PF,33,LAC,3,69,2,1,1,7,6,2,7,9
Robert Covington,SF,33,PHI,26,419,17,23,21,17,33,16,49,118
Torrey Craig,SF,33,CHI,53,1049,60,48,27,58,30,21,110,303
Jae Crowder,PF,33,MIL,50,1156,58,56,26,66,38,9,74,312
Jalen Crutcher,PG,24,NOP,1,3,0,0,0,0,0,0,0,0
Cade Cunningham,PG,22,DET,62,2074,119,405,238,464,56,22,153,1405
Seth Curry,SG,33,TOT,44,616,38,42,28,44,22,6,39,226
Seth Curry,SG,33,DAL,36,457,29,25,17,30,17,3,32,154
Seth Curry,SG,33,CHO,8,159,9,17,11,14,5,3,7,72
Stephen Curry,PG,35,GSW,74,2421,357,293,299,379,54,28,117,1956
Dyson Daniels,PG,20,NOP,61,1358,42,97,34,164,85,25,101,354
